@relation anomalous-traffic

@attribute ts numeric
@attribute pkts numeric
@attribute ed numeric
@attribute cd numeric
@attribute lle numeric
@attribute sampen numeric
@attribute rec numeric
@attribute det numeric
@attribute ent numeric
@attribute trend numeric
@attribute lam numeric
@attribute class {normal, anomaly}

@data
1484112654.66,1294,19.0,1.26851651493,-0.000889700496839,0.0702204029981,0.000783699059561,1.0,-0.0,0.0,0.0,normal
1484112924.66,1120,18.0,1.55855086497,-0.0030790000744,0.102246233645,0.00090661831369,1.0,-0.0,0.0,0.0,normal
1484112969.66,1378,18.0,1.32080578968,-0.0020151974214,0.0734225438441,0.000734753857458,1.0,-0.0,0.0,0.0,normal
1484113014.66,1502,16.0,1.26859084876,-0.00198638483443,0.0711372753301,0.000672494956288,1.0,-0.0,0.0,0.0,normal
1484113059.66,1475,16.0,1.36930256034,-0.00123281442656,0.0774607704894,0.000684931506849,1.0,-0.0,0.0,0.0,normal
1484113104.66,1514,13.0,1.28443810504,0.00315460276605,0.0734392044659,0.000665778961385,1.0,-0.0,0.0,0.0,normal
1484113149.66,1508,17.0,1.21817832786,-0.000818999660741,0.0525961556581,0.000670241286863,1.0,-0.0,0.0,0.0,normal
1484113194.66,1499,16.0,1.36972915879,-0.00220200366442,0.0757898469001,0.000673854447439,1.0,-0.0,0.0,0.0,normal
1484113239.66,1607,15.0,1.31663443577,0.000936197205477,0.0719043996449,0.000627746390458,1.0,-0.0,0.0,0.0,normal
1484113284.66,1598,15.0,1.30192992951,0.000278428405163,0.0855463343663,0.000631313131313,1.0,-0.0,0.0,0.0,normal
1484113329.66,1607,15.0,1.4058071738,-0.000539067497114,0.0924243831133,0.000630110783643,1.0,0.636514168295,1.1017335982e-08,0.0,normal
1484113374.66,1525,15.0,1.22886597611,-0.000744120918191,0.0806024607068,0.00066181336863,1.0,-0.0,0.0,0.0,normal
1484113419.66,1392,19.0,1.16863155688,0.00112930439977,0.0660749724388,0.000727802037846,1.0,-0.0,0.0,0.0,normal
1484113464.66,1364,15.0,1.21621714484,0.00277034611824,0.0833668001071,0.000740740740741,1.0,-0.0,0.0,0.0,normal
1484113509.66,1243,18.0,1.40001409291,-0.000259323716286,0.0802531790521,0.000815660685155,1.0,-0.0,0.0,0.0,normal
1484113554.66,1328,18.0,1.32967429796,-0.000262882771829,0.0629598296363,0.000762776506484,1.0,-0.0,0.0,0.0,normal
1484113599.66,1450,17.0,1.33426395399,-0.00158450601257,0.057422217722,0.000697350069735,1.0,-0.0,0.0,0.0,normal
1484113644.66,1386,20.0,1.23690333169,-0.00140640811537,0.0545496719882,0.000731528895391,1.0,-0.0,0.0,0.0,normal
1484113689.66,1373,11.0,1.03353002466,0.00134824463572,0.0942329742459,0.000734752275444,0.998534798535,-0.0,-2.02740811781e-09,0.0,normal
1484113734.66,1348,12.0,1.08348509055,0.00233958569364,0.102976292701,0.00074794315632,1.0,-0.0,0.0,0.0,normal
1484113779.66,1363,17.0,1.18430104941,-0.00191662477028,0.074500197834,0.000742390497402,1.0,-0.0,0.0,0.0,normal
1484113824.66,1396,20.0,1.38150106845,-0.00203309930402,0.0610704823226,0.000726216412491,1.0,-0.0,0.0,0.0,normal
1484113869.66,1397,20.0,1.32716699618,0.00134197422614,0.065540277648,0.000725689404935,1.0,-0.0,0.0,0.0,normal
1484113914.66,1418,14.0,1.30722907357,0.00155167747256,0.088868853374,0.000711743772242,1.0,-0.0,0.0,0.0,normal
